,date,open,close,high,low,volume,code
750,2021-02-01,2067.122,2046.442,2097.122,2032.122,29341.0,600519
751,2021-02-02,2049.342,2082.122,2087.112,2039.222,34582.0,600519
752,2021-02-03,2087.122,2127.032,2135.392,2077.122,38714.0,600519
753,2021-02-04,2128.122,2257.972,2267.122,2128.122,63851.0,600519
754,2021-02-05,2262.122,2250.122,2301.722,2228.122,39729.0,600519
755,2021-02-08,2274.122,2305.922,2316.002,2250.122,35786.0,600519
756,2021-02-09,2305.922,2393.552,2393.552,2287.122,33297.0,600519
757,2021-02-10,2422.122,2538.122,2538.322,2422.122,61371.0,600519
758,2021-02-18,2525.102,2408.122,2565.002,2402.122,65912.0,600519
759,2021-02-19,2388.282,2397.122,2433.782,2318.722,59385.0,600519
760,2021-02-22,2392.122,2225.142,2392.122,2215.342,78935.0,600519
761,2021-02-23,2202.262,2244.122,2282.012,2202.122,57455.0,600519
762,2021-02-24,2245.112,2126.122,2255.122,2097.622,82116.0,600519
763,2021-02-25,2146.122,2087.122,2161.622,2058.332,59726.0,600519
764,2021-02-26,2037.122,2059.902,2117.072,2004.422,66525.0,600519
765,2021-03-01,2116.122,2095.122,2116.122,2057.122,44916.0,600519
766,2021-03-02,2117.122,1995.122,2117.122,1970.122,70765.0,600519
767,2021-03-03,1977.122,2077.122,2086.892,1970.122,54215.0,600519
768,2021-03-04,2032.122,1970.122,2033.122,1947.222,65088.0,600519
769,2021-03-05,1937.122,1997.232,2032.122,1925.122,63779.0,600519
770,2021-03-08,2012.082,1897.122,2022.122,1897.122,63100.0,600519
771,2021-03-09,1892.122,1874.112,1937.122,1837.302,82266.0,600519
772,2021-03-10,1914.122,1907.132,1936.992,1904.122,51172.0,600519
773,2021-03-11,1912.122,1985.122,2017.112,1898.602,56769.0,600519
774,2021-03-12,2007.122,1963.122,2014.122,1939.132,40323.0,600519
775,2021-03-15,1987.122,1912.572,2006.922,1888.272,62485.0,600519
776,2021-03-16,1912.052,1947.622,1957.112,1902.122,34649.0,600519
777,2021-03-17,1937.122,1967.482,1987.122,1913.132,31375.0,600519
778,2021-03-18,1972.122,2006.822,2023.482,1972.122,33865.0,600519
779,2021-03-19,1972.122,1947.122,1980.122,1929.352,35781.0,600519
780,2021-03-22,1937.222,1927.112,1963.212,1892.672,36914.0,600519
781,2021-03-23,1936.002,1933.122,1945.922,1907.122,27446.0,600519
782,2021-03-24,1918.122,1926.122,1950.122,1918.122,29357.0,600519
783,2021-03-25,1907.132,1908.122,1926.002,1883.922,31575.0,600519
784,2021-03-26,1922.122,1950.122,1959.122,1895.122,50016.0,600519
785,2021-03-29,1980.322,1971.222,2033.472,1963.272,56992.0,600519
786,2021-03-30,1977.122,1993.172,2023.122,1972.202,32627.0,600519
